Q0WV96	AT1G01010
Q9XIG1	AT1G43620
Q6DYE2	AT1G43630
Q9XIG0	AT1G43630
A0A1P8ANS7	AT1G43640
Q944S3	AT1G43640
F4ICR6	AT1G43650
Q6NMB7	AT1G43650
Q3ECX8	AT1G43665
Q56Y90	AT1G43666
Q8GX11	AT1G43667
Q9MA79	AT1G43670
F4ICS1	AT1G43680
Q6DR33	AT1G43680
Q9MA75	AT1G43700
Q9MA74	AT1G43710
F4ICS5	AT1G43720
F4ICS6	AT1G43722
Q9MA72	AT1G43722
F4ICS7	AT1G43730
F4ICS8	AT1G43760
B3H578	AT1G43770
B6EUC7	AT1G43770
Q9MAR8	AT1G43780
Q8LBX7	AT1G43790
Q84VY3	AT1G43800
A0A1P8AP46	AT1G43815
A0A1P8AUL6	AT1G43825
Q8W234	AT1G43850
A0A178W856	AT1G43860
A0A1P8ATX3	AT1G43860
A0A178W8U4	AT1G43890
O23657	AT1G43890
Q8VZN9	AT1G43900
Q9LP11	AT1G43910
Q9LP10	AT1G43920
Q9LP07	AT1G43950
F4IED7	AT1G43970
Q9LP03	AT1G43980
A0A178WIS0	AT1G44000
Q94AQ9	AT1G44000
Q9LNZ6	AT1G44010
F4IEE1	AT1G44020
A0A1P8AMN4	AT1G44030
F4IEE2	AT1G44030
Q9LNZ3	AT1G44030
A0A178W9N9	AT1G44050
Q9LNZ0	AT1G44050
Q9C6X9	AT1G44080
Q9C6Y0	AT1G44085
Q9LNY6	AT1G44085
Q4PT02	AT1G44090
Q8GUM3	AT1G44100
Q9C6Y3	AT1G44110
A0A1P8AR52	AT1G44120
A0A1P8ARA5	AT1G44120
Q9C6Y4	AT1G44120
Q0WRX5	AT1G44160
Q9C6Y6	AT1G44160
Q70DU8	AT1G44170
Q9C6Y8	AT1G44180
A8MQW1	AT1G44191
Q570Y0	AT1G44224
Q94LA3	AT1G44224
Q94LA4	AT1G44318
Q8VYX0	AT1G44350
A0A178W365	AT1G44414
A0A1P8ARR2	AT1G44446
Q9MBA1	AT1G44446
A0A178WKS4	AT1G44478
Q94LA7	AT1G44478
Q94LA9	AT1G44542
F4IEG8	AT1G44575
Q9XF91	AT1G44575
Q58G48	AT1G44608
F4IEH1	AT1G44740
A0A178W3X9	AT1G44750
Q9LPF6	AT1G44750
A0A1P8APG6	AT1G44760
Q9LPF5	AT1G44760
B3H607	AT1G44770
Q84WK2	AT1G44770
Q5Q0E8	AT1G44780
Q5Q0F0	AT1G44780
Q9LPF3	AT1G44780
C0Z2K4	AT1G44790
Q84QC1	AT1G44790
Q9LPF1	AT1G44800
Q9LPF0	AT1G44810
Q9LPE9	AT1G44820
Q9LPE8	AT1G44830
F4HPK3	AT1G44835
Q8GXG9	AT1G44835
Q6ICW9	AT1G44890
Q9LPE1	AT1G44890
A0A1P8APK6	AT1G44895
Q9LPE0	AT1G44895
F4HPK7	AT1G44900
Q9LPD9	AT1G44900
B6EUA9	AT1G44910
Q9LPD7	AT1G44920
F4HPL1	AT1G44940
F4HPL2	AT1G44940
B3H6B3	AT1G44941
A0A178WK58	AT1G44960
Q9LPD5	AT1G44960
Q9MAL1	AT1G44960
Q96512	AT1G44970
Q9MAL0	AT1G44980
F4HPL7	AT1G44990
B3H533	AT1G45000
Q9MAK9	AT1G45000
A0A1P8AVQ9	AT1G45010
A0A1P8AVT2	AT1G45010
A0A384KFF9	AT1G45010
Q8VZR3	AT1G45010
F4HPM2	AT1G45015
Q9MAK7	AT1G45015
A0A1P8AWD8	AT1G45050
P42743	AT1G45050
F4HPM4	AT1G45063
Q1G3Z5	AT1G45063
F4HPM6	AT1G45100
Q6NQA0	AT1G45110
A0A1P8AMY9	AT1G45130
Q9MAJ7	AT1G45130
Q39241	AT1G45145
Q7Y231	AT1G45150
F4HPN1	AT1G45160
F4HPN2	AT1G45160
F4HPN4	AT1G45163
Q058G8	AT1G45165
Q9MAJ3	AT1G45165
Q1H5C9	AT1G45170
A0A1P8AR79	AT1G45180
Q9MAJ1	AT1G45180
Q9MAJ0	AT1G45190
A0A1P8AW88	AT1G45191
A0A1P8AWA5	AT1G45191
A0A1P8AWB3	AT1G45191
Q3ECW8	AT1G45191
A0A1P8AVY3	AT1G45201
F4HRB4	AT1G45201
Q8L7S1	AT1G45201
A0A1P8AMX7	AT1G45207
F4HRB5	AT1G45207
A7REF1	AT1G45215
A8MQF4	AT1G45221
A7REF3	AT1G45223
B3H5L9	AT1G45229
F4HRD2	AT1G45230
Q9C642	AT1G45230
F4HRC0	AT1G45231
F4HRC1	AT1G45233
F4HRB9	AT1G45243
F4HRC7	AT1G45248
Q1PFN1	AT1G45248
Q6E2A0	AT1G45248
A0A1P8AV67	AT1G45249
A0A1P8AV75	AT1G45249
F4HRC9	AT1G45249
F4HRD0	AT1G45249
Q9M7Q4	AT1G45249
A0A1P8AQG8	AT1G45332
Q9C641	AT1G45332
Q9C640	AT1G45403
Q9C639	AT1G45474
A0A1P8AUD2	AT1G45545
Q9C638	AT1G45545
Q9C637	AT1G45616
A0A178WJL5	AT1G45688
F4HRE0	AT1G45688
A0A178WK23	AT1G45976
Q9C635	AT1G46264
Q9C634	AT1G46336
Q9C633	AT1G46408
A0A1P8AM87	AT1G46480
Q6X7J9	AT1G46480
Q9C631	AT1G46696
A0A178W8X3	AT1G46768
Q8LC30	AT1G46768
Q9C629	AT1G46840
F4HRE9	AT1G46912
Q9C628	AT1G46912
Q9C627	AT1G46984
Q9C626	AT1G47056
P43297	AT1G47128
A0A1P8AQP2	AT1G47130
Q9C500	AT1G47200
F4HT55	AT1G47210
Q9C6A9	AT1G47210
A0MEB5	AT1G47220
Q3ECW2	AT1G47230
A0A178W8Y6	AT1G47240
A0A178WAV6	AT1G47240
Q9C6B2	AT1G47240
O23712	AT1G47250
Q9C6B3	AT1G47260
Q1G3Z4	AT1G47265
A0A1P8ASW8	AT1G47270
F4HT64	AT1G47270
Q0WPY0	AT1G47270
B3H6Z2	AT1G47271
A8MRX3	AT1G47278
Q1G3Z3	AT1G47278
Q1PFM9	AT1G47280
Q9FX01	AT1G47290
Q9FX02	AT1G47300
Q9FX03	AT1G47310
Q2V4I2	AT1G47317
P0CAY7	AT1G47320
A0A1P8AQD0	AT1G47330
Q8RY60	AT1G47330
A0A1P8AWB5	AT1G47340
Q0V7S0	AT1G47340
F4HT76	AT1G47350
F4HT77	AT1G47370
Q9FX08	AT1G47380
F4HT79	AT1G47389
Q9FX09	AT1G47390
A0A178WFX1	AT1G47395
Q3ECW0	AT1G47400
Q9SX76	AT1G47410
Q9SX77	AT1G47420
Q3ECV9	AT1G47450
Q3ECV8	AT1G47470
Q9SX78	AT1G47480
Q8L8Y3	AT1G47485
Q9SX79	AT1G47490
F4HT92	AT1G47495
Q1G3E3	AT1G47497
A0A1P8APV6	AT1G47500
Q9SX80	AT1G47500
A0A1P8AUV8	AT1G47510
A0A1P8AUX2	AT1G47510
F4HT96	AT1G47510
Q5EAF2	AT1G47510
A0A1P8AUJ9	AT1G47530
Q9SX83	AT1G47530
F4HTA0	AT1G47540
Q42330	AT1G47540
A0A178W8E3	AT1G47550
A0A178WKN9	AT1G47550
Q9SX85	AT1G47550
Q9SX86	AT1G47560
A0A1P8AMF8	AT1G47570
A8MRY1	AT1G47570
Q9SX88	AT1G47570
P0C7R2	AT1G47578
P0C7R1	AT1G47580
Q9SX90	AT1G47590
F4HV16	AT1G47600
Q8GRX1	AT1G47600
Q9SX93	AT1G47603
Q9SX94	AT1G47610
Q9SX95	AT1G47620
A0A178WKH7	AT1G47640
Q9SX97	AT1G47655
A0A1P8AN40	AT1G47657
F4HV22	AT1G47660
Q9SX98	AT1G47670
Q3ECV3	AT1G47680
Q3E7G5	AT1G47690
A0A1P8AW78	AT1G47695
Q3E7G5	AT1G47700
Q9FZE7	AT1G47702
A0A1P8API2	AT1G47710
Q9S7T8	AT1G47710
Q9SX99	AT1G47720
Q9SXA0	AT1G47730
A0A384KDS9	AT1G47740
Q9FZF1	AT1G47750
Q9FZF2	AT1G47760
Q9FZF3	AT1G47765
F4HV35	AT1G47770
F4HV36	AT1G47780
Q1PFM7	AT1G47780
F4HV37	AT1G47786
Q9FZF8	AT1G47790
A0A178WII7	AT1G47800
P0C2G5	AT1G47800
Q4PT00	AT1G47810
Q9FZG0	AT1G47813
Q9FZG2	AT1G47820
Q84WL9	AT1G47830
A0A1P8ARU7	AT1G47840
Q9FZG4	AT1G47840
A0A1P8ARU2	AT1G47845
F4HV47	AT1G47870
Q9FV70	AT1G47870
A0A178W7N5	AT1G47885
Q9C699	AT1G47890
F4HV50	AT1G47900
Q9C698	AT1G47900
Q3E6X9	AT1G47915
F4HV53	AT1G47920
Q9C696	AT1G47920
F4HV54	AT1G47940
F4HWQ8	AT1G47960
Q9C7Y9	AT1G47970
F4HWR0	AT1G47980
Q9C7Z0	AT1G47980
Q9C7Z1	AT1G47990
A0A178WKB2	AT1G48000
Q9FNW0	AT1G48000
Q9C7Z2	AT1G48010
Q9LNF2	AT1G48020
Q9M5K3	AT1G48030
Q9LNF4	AT1G48040
A0A178WJ76	AT1G48050
A0A1P8ASX4	AT1G48050
A0A1P8AT14	AT1G48050
Q9FQ09	AT1G48050
Q9LNF6	AT1G48060
Q6NM39	AT1G48070
Q9C7Z5	AT1G48070
Q9LNF8	AT1G48070
A0A178W680	AT1G48090
A0A178W845	AT1G48090
A0A1P8AMP6	AT1G48090
A0A1P8AMQ1	AT1G48090
A0A1P8AMQ8	AT1G48090
A0A384LIM1	AT1G48090
F4HWS2	AT1G48090
Q8LGH2	AT1G48090
Q9C7Z7	AT1G48095
A0A178W0D7	AT1G48100
Q949Z1	AT1G48100
F4HWS5	AT1G48110
Q9LNG5	AT1G48120
O04005	AT1G48130
F4HWT0	AT1G48140
Q8LEQ4	AT1G48140
F4HWT1	AT1G48145
A0A178W5Y4	AT1G48150
Q645J1	AT1G48150
Q7X9H0	AT1G48150
Q943Z6	AT1G48160
Q8VYQ0	AT1G48170
A0A178WBM1	AT1G48175
A0A1P8AR49	AT1G48175
Q6IDB6	AT1G48175
A0A1P8AUY9	AT1G48180
F4HWT6	AT1G48180
F4HWT7	AT1G48190
Q3ECU8	AT1G48195
A0A178W2Y1	AT1G48200
Q9LNH3	AT1G48200
A0A1P8APV1	AT1G48210
F4HWU0	AT1G48210
A0A178WL01	AT1G48220
A0A1P8AT28	AT1G48230
Q9LNH5	AT1G48230
A0A1P8AX23	AT1G48240
Q9LNH6	AT1G48240
A0A178W4G8	AT1G48260
A0A1P8AMC0	AT1G48260
Q94C40	AT1G48260
O04714	AT1G48270
Q93ZL7	AT1G48280
Q9SX62	AT1G48280
A0A1P8ANZ1	AT1G48285
Q9C5W0	AT1G48300
A0A178W6Q2	AT1G48310
A0A178W7P0	AT1G48310
A0A1P8AQE4	AT1G48310
A0A1P8AQF7	AT1G48310
A0A178WIB9	AT1G48320
Q9SX65	AT1G48320
Q84WL4	AT1G48325
Q9SX66	AT1G48325
Q9SX67	AT1G48330
Q9SX68	AT1G48350
A0A178WHW3	AT1G48360
A0A178WIQ4	AT1G48360
A0A178WJQ2	AT1G48360
A0A178WM27	AT1G48360
A0A1P8AVS5	AT1G48360
A0A1P8AVS9	AT1G48360
A0A1P8AVV1	AT1G48360
Q5XVJ4	AT1G48360
A0A1P8AQR0	AT1G48370
Q6R3K4	AT1G48370
O81242	AT1G48380
A0A1P8ARU1	AT1G48390
F4HYE7	AT1G48390
Q56XW8	AT1G48400
Q9SX73	AT1G48405
A0A178WL72	AT1G48410
O04379	AT1G48410
F4HYF3	AT1G48420
A0A1P8AU45	AT1G48430
C0Z2K3	AT1G48430
F4HYF4	AT1G48430
Q8L7L9	AT1G48430
Q8W4B6	AT1G48430
F4HYF6	AT1G48450
F4HYF8	AT1G48450
Q9LP80	AT1G48450
A0A178W3G7	AT1G48460
A0A1P8APR1	AT1G48460
Q8GXW5	AT1G48470
Q9LP77	AT1G48480
A0A1P8AVQ0	AT1G48490
F4HYG2	AT1G48490
B3H4G3	AT1G48500
B3H630	AT1G48500
Q58G47	AT1G48500
A0A178WMR6	AT1G48510
A0A178WMW9	AT1G48510
A0A178WPX1	AT1G48510
A0A178WQW3	AT1G48510
A0A1P8ASC1	AT1G48510
A0A1P8ASC2	AT1G48510
F4HYG9	AT1G48510
Q9LP74	AT1G48510
F4HYH1	AT1G48520
Q9FV81	AT1G48520
Q5XVJ3	AT1G48530
Q9LP71	AT1G48530
A0A178W5F2	AT1G48540
A0A1P8AMY4	AT1G48540
F4HYH5	AT1G48540
F4HYH6	AT1G48550
F4HYH7	AT1G48550
F4HYH8	AT1G48560
Q9LP68	AT1G48560
Q9LP67	AT1G48570
A0A1P8ANI6	AT1G48580
F4HYI1	AT1G48580
Q9LP65	AT1G48590
A0A178WLU9	AT1G48600
Q944H0	AT1G48600
P94063	AT1G48605
Q3ECU3	AT1G48610
Q94AD1	AT1G48610
Q4V3D1	AT1G48620
Q9LP61	AT1G48620
Q9LP59	AT1G48625
Q9C4Z6	AT1G48630
A0A178W4B0	AT1G48635
F4HYJ3	AT1G48635
Q8S9K7	AT1G48635
Q9C733	AT1G48640
F4HYJ6	AT1G48650
F4HYJ7	AT1G48650
A0A1P8AV88	AT1G48660
Q9C735	AT1G48660
A0A1P8APW1	AT1G48670
Q9C736	AT1G48670
Q9C737	AT1G48690
A0A178WCT4	AT1G48700
A0A1P8ARP5	AT1G48700
A0A1P8ARP7	AT1G48700
A0A1P8ARQ3	AT1G48700
A0A1P8ARR0	AT1G48700
F4HYK1	AT1G48700
Q682G3	AT1G48720
A0A1P8ARB6	AT1G48725
Q9C741	AT1G48730
A0A1P8AQX1	AT1G48740
A0A1P8AQY4	AT1G48740
Q0WLF0	AT1G48740
Q9C742	AT1G48740
Q1G3E1	AT1G48745
A0A178WPD2	AT1G48750
Q9C744	AT1G48760
Q9C745	AT1G48770
A0A178WBJ8	AT1G48780
Q5BPX7	AT1G48780
Q8VYB5	AT1G48790
Q9C748	AT1G48800
Q9C601	AT1G48820
Q9C749	AT1G48820
Q9C514	AT1G48830
Q8VXZ2	AT1G48840
Q9C602	AT1G48840
A0A178W8K1	AT1G48850
F4I032	AT1G48850
F4I033	AT1G48850
P57720	AT1G48850
F4I035	AT1G48860
Q9FVP6	AT1G48860
Q9C603	AT1G48870
Q9FVP7	AT1G48870
F4I037	AT1G48880
A8MSA9	AT1G48900
P49967	AT1G48900
Q9FVQ0	AT1G48910
B3H5C9	AT1G48912
Q9FVQ1	AT1G48920
Q9M994	AT1G48920
Q9M995	AT1G48930
Q4PSZ8	AT1G48940
A0A178WCC7	AT1G48950
Q8GXH8	AT1G48950
B3H5J2	AT1G48953
Q67Y32	AT1G48960
Q9M998	AT1G48960
F4I048	AT1G48970
Q570L2	AT1G48970
Q9M999	AT1G48970
B3H7C3	AT1G48980
F4I050	AT1G48980
Q5XVJ1	AT1G48980
Q5XVJ2	AT1G48980
Q9M9A0	AT1G48980
Q9M9A1	AT1G48990
Q9M9A2	AT1G49000
Q3ECU1	AT1G49005
Q9M9A3	AT1G49010
F4I057	AT1G49015
Q9M9A4	AT1G49015
Q9M9A5	AT1G49030
Q8GX22	AT1G49032
F4I061	AT1G49040
F4I062	AT1G49040
Q8RXA7	AT1G49040
A0A1P8AS38	AT1G49050
Q9M9A8	AT1G49050
F4I065	AT1G49100
Q5Q0E7	AT1G49110
Q9M9B2	AT1G49120
F4I1N0	AT1G49130
Q9M9B3	AT1G49130
Q9M9B4	AT1G49140
F4I1N3	AT1G49150
Q9M9B5	AT1G49150
A0A1P8AQW9	AT1G49160
A0A1P8AQY5	AT1G49160
A0A1P8AQZ4	AT1G49160
Q8LST2	AT1G49160
A0A178W6G2	AT1G49170
A0A178W6X5	AT1G49170
Q9M9B7	AT1G49170
F4I1N7	AT1G49180
F4I1N8	AT1G49180
Q9M9B9	AT1G49190
Q94BY6	AT1G49200
Q6NML0	AT1G49210
P0C034	AT1G49220
A0A1P8ATQ1	AT1G49225
Q6NQG7	AT1G49230
Q96293	AT1G49240
Q8LD83	AT1G49245
F4I1P7	AT1G49250
Q5BPX4	AT1G49260
Q9XI95	AT1G49260
Q9XI96	AT1G49270
A0A178W3Y1	AT1G49300
Q9XI98	AT1G49300
A0A178WLB3	AT1G49310
Q9XI99	AT1G49320
Q9XIA0	AT1G49330
A0A178WJR8	AT1G49340
A0A1P8AWA3	AT1G49340
Q9SXA1	AT1G49340
Q94AT3	AT1G49350
A0A178WDS1	AT1G49360
A0A1P8AVW1	AT1G49360
A0A1P8AVW3	AT1G49360
Q9XIA2	AT1G49360
Q9XIA4	AT1G49380
A0A178WD52	AT1G49390
A0A1P8ARH4	AT1G49390
Q9XIA6	AT1G49400
Q3ECT8	AT1G49405
Q9XIA7	AT1G49410
F4I1R5	AT1G49420
Q9XIA8	AT1G49420
A0A1P8ARJ4	AT1G49430
Q9XIA9	AT1G49430
P82731	AT1G49435
Q9XIB3	AT1G49470
Q9XIB4	AT1G49475
Q9XIB5	AT1G49480
A0A178W6W3	AT1G49490
A0A1P8AMX0	AT1G49490
Q9XIB6	AT1G49490
A0A384LDR8	AT1G49500
A0A1P8AVI5	AT1G49510
O22043	AT1G49530
F4I1S7	AT1G49540
F4I1S8	AT1G49540
A0A1P8AUH8	AT1G49560
Q9FX84	AT1G49560
Q9FX85	AT1G49570
Q9FX86	AT1G49580
A0A178W4B3	AT1G49590
F4I3B1	AT1G49590
F4I3B2	AT1G49590
Q7XA66	AT1G49590
A0A178WAQ6	AT1G49600
A0A1P8ASD0	AT1G49600
F4I3B3	AT1G49600
Q9FX89	AT1G49610
A0A1P8ASS0	AT1G49620
A0A1P8ASU8	AT1G49620
Q94CL9	AT1G49620
A0A1P8AMU8	AT1G49630
A0A1P8AMX1	AT1G49630
Q8VY06	AT1G49630
Q9FX92	AT1G49640
Q9FX93	AT1G49650
Q9FX94	AT1G49660
F4I3C3	AT1G49670
Q9FX95	AT1G49670
Q3ECT7	AT1G49680
A0A1P8AUP3	AT1G49700
A0A1P8AUS7	AT1G49700
F4I3C5	AT1G49700
F4I3C6	AT1G49700
Q9FX96	AT1G49700
Q9FX97	AT1G49710
Q2V4H7	AT1G49715
F4I3C9	AT1G49720
Q9M7Q5	AT1G49720
A0A1P8AP21	AT1G49730
F4I3D1	AT1G49730
Q9FX99	AT1G49730
A0A178WA70	AT1G49740
Q9FXA1	AT1G49750
Q9FXA2	AT1G49760
Q9FXA3	AT1G49770
Q9FXA4	AT1G49780
F4I3E1	AT1G49790
Q9C6D5	AT1G49790
Q5S502	AT1G49800
Q9C6D3	AT1G49810
Q9C6D2	AT1G49820
A0A178W5X0	AT1G49830
A0A1P8AM34	AT1G49830
Q9C6D0	AT1G49840
A0A178W5L0	AT1G49850
Q852U6	AT1G49850
Q9C6C8	AT1G49860
B3H5B7	AT1G49870
Q5BPX3	AT1G49870
Q9C6C7	AT1G49870
A0A1P8AP23	AT1G49880
Q8GXX0	AT1G49880
A0A178W865	AT1G49890
Q94AI1	AT1G49890
Q9C538	AT1G49900
Q9C701	AT1G49910
Q9C702	AT1G49920
Q9C703	AT1G49930
A0A1P8AMV8	AT1G49940
F4I3F9	AT1G49940
F4I3G0	AT1G49940
F4I3G1	AT1G49940
Q8VWK4	AT1G49950
P93039	AT1G49960
Q9XJ35	AT1G49970
Q8LFL5	AT1G49975
A0A1P8ANG2	AT1G49980
A0A1P8ANG9	AT1G49980
A0A1P8ANJ3	AT1G49980
Q6JDV7	AT1G49980
Q9LPM2	AT1G49990
A0A1P8AQL0	AT1G50000
A0A1P8AQL1	AT1G50000
A0A1P8AQT0	AT1G50000
Q6E295	AT1G50000
Q6E296	AT1G50000
Q6E297	AT1G50000
B9DGT7	AT1G50010
Q9LPM3	AT1G50020
F4I4X6	AT1G50030
Q8RWA9	AT1G50030
Q9FR53	AT1G50030
Q9LPM5	AT1G50040
F4I4X9	AT1G50050
Q9LPM6	AT1G50050
Q9LPM7	AT1G50060
Q9LPM8	AT1G50090
A0A1P8AMV4	AT1G50110
Q9LPM9	AT1G50110
A0A1P8ASX9	AT1G50120
Q8RWU2	AT1G50120
F4I4Y5	AT1G50140
F4I4Y6	AT1G50140
Q3ECT2	AT1G50160
A0A1P8AWW0	AT1G50170
A0A1P8AWY5	AT1G50170
Q84JH7	AT1G50170
Q9SX38	AT1G50180
F4I4Z0	AT1G50190
Q9SX39	AT1G50190
A0A178W6W4	AT1G50200
F4I4Z2	AT1G50200
P36428	AT1G50200
Q9SX41	AT1G50220
Q2QAV0	AT1G50240
Q39102	AT1G50250
A0A178W8T1	AT1G50260
F4I4Z6	AT1G50260
Q8L626	AT1G50260
Q9SX45	AT1G50270
A0A1P8AQY8	AT1G50280
Q8RXR6	AT1G50280
Q944R3	AT1G50290
A0A1P8ARX2	AT1G50300
Q9AST1	AT1G50300
A0A1P8AWV3	AT1G50310
Q9SX48	AT1G50310
Q8LD49	AT1G50320
B3H4N5	AT1G50325
Q3ECT0	AT1G50340
A0A178WKE4	AT1G50350
F4I507	AT1G50360
Q9SX52	AT1G50370
A0A1P8ATN7	AT1G50380
Q9SX53	AT1G50380
Q9SX54	AT1G50390
Q9SX55	AT1G50400
A0A1P8AWQ0	AT1G50410
Q94BR5	AT1G50410
Q9LPR8	AT1G50420
A8MS34	AT1G50430
Q9LDU6	AT1G50430
A0A1P8AS58	AT1G50440
A0A1P8AS62	AT1G50440
Q9LPR9	AT1G50440
A0A178W6N9	AT1G50450
A0A1P8ASN0	AT1G50460
A0A1P8ASQ8	AT1G50460
Q9LPS1	AT1G50460
A0A178WEN5	AT1G50470
Q9C6Q5	AT1G50470
Q9SPK5	AT1G50480
Q8L7T3	AT1G50490
A0A1P8ATX5	AT1G50500
A0A1P8ATZ0	AT1G50500
Q0WQF4	AT1G50500
Q84K35	AT1G50510
F4I6I6	AT1G50520
Q9C6Q1	AT1G50530
Q9LPS6	AT1G50560
Q9C6Q0	AT1G50570
Q9LPS7	AT1G50570
Q93XW9	AT1G50575
Q9LPS8	AT1G50580
A0A1P8AVL1	AT1G50590
Q9LPS9	AT1G50590
A0A1P8AW83	AT1G50600
A0A1P8AW90	AT1G50600
C0Z2I8	AT1G50600
Q8H125	AT1G50600
Q9LPT1	AT1G50610
A0A178W8T9	AT1G50630
F4I6J9	AT1G50630
O80339	AT1G50640
Q9C6P6	AT1G50650
A0A178WG93	AT1G50660
Q9LPT6	AT1G50670
A0A178WA96	AT1G50680
Q9C6P5	AT1G50680
A0A1P8ASS7	AT1G50690
Q9C6P4	AT1G50690
A0A1P8ANC2	AT1G50700
A0A1P8AND9	AT1G50700
Q9C6P3	AT1G50700
Q8GYM3	AT1G50710
Q9C6T5	AT1G50720
A0A1P8ATR6	AT1G50730
A0A1P8ATS8	AT1G50730
F4I6L0	AT1G50730
Q8GWN5	AT1G50730
F4I6L1	AT1G50732
Q9C6T7	AT1G50740
A0A1P8AP45	AT1G50745
F4I6L3	AT1G50750
Q1PFL5	AT1G50770
Q9C6K1	AT1G50770
Q9C6K0	AT1G50780
Q9C6J9	AT1G50790
A0A1P8AQ63	AT1G50820
Q9C6J7	AT1G50820
A0A178WHR2	AT1G50830
A0A1P8APQ6	AT1G50840
F4I6M1	AT1G50840
Q9C6J3	AT1G50870
Q9C6J2	AT1G50880
F4I6M4	AT1G50890
Q8VY88	AT1G50900
A0A1P8AML9	AT1G50910
Q56Y76	AT1G50910
Q9C6I8	AT1G50920
A0A1P8AMA6	AT1G50930
Q9C6I7	AT1G50930
Q9C6I6	AT1G50940
A0A1P8AX25	AT1G50950
F4I7X9	AT1G50950
Q9C6I4	AT1G50960
A0A178W9H5	AT1G50970
A0A1P8AWN0	AT1G50970
A0A1P8AWQ9	AT1G50970
F4I7Y2	AT1G50970
Q9C6I2	AT1G50980
A0A1P8ANY4	AT1G50990
F4I7Y4	AT1G50990
F4I7Y5	AT1G51000
Q9C6I0	AT1G51000
F4I7Y6	AT1G51010
Q9C549	AT1G51020
A0A178WBQ6	AT1G51035
A0A178W8N2	AT1G51040
Q9C680	AT1G51040
F4I7Z1	AT1G51055
Q9C681	AT1G51060
F4I7Z3	AT1G51070
Q9C682	AT1G51070
Q9C683	AT1G51080
A0A178W8L6	AT1G51090
Q9C684	AT1G51090
Q9C685	AT1G51100
A0A178WGU0	AT1G51110
A0A178WH77	AT1G51110
Q8LAP6	AT1G51110
A0A178WMW5	AT1G51120
Q9C688	AT1G51120
Q9C689	AT1G51130
Q9C690	AT1G51140
Q9C691	AT1G51150
Q9SYB8	AT1G51160
Q9SYB9	AT1G51170
F4I806	AT1G51172
Q5YGP7	AT1G51190
Q8H0X0	AT1G51200
Q9SYC4	AT1G51210
Q8W031	AT1G51220
Q9SYC6	AT1G51240
Q9SYC7	AT1G51250
Q9SYC8	AT1G51260
A0A1P8AQB2	AT1G51270
A0A1P8AQC1	AT1G51270
A0A1P8AQE6	AT1G51270
A0A384KL39	AT1G51270
F4I818	AT1G51270
F4I819	AT1G51270
F4I820	AT1G51270
Q56Y44	AT1G51270
Q9SYC9	AT1G51270
Q9SYD0	AT1G51290
A0A1P8AUU6	AT1G51300
A0A1P8AUY3	AT1G51300
F4I823	AT1G51300
Q9SYD1	AT1G51300
A0A178WIM9	AT1G51310
Q9SYD2	AT1G51310
Q9SYD4	AT1G51320
F4I826	AT1G51330
Q9SYD5	AT1G51330
A0A1P8AU65	AT1G51340
Q9SYD6	AT1G51340
A0A178W620	AT1G51350
Q3ECS5	AT1G51355
Q9SYD8	AT1G51360
F4I9I0	AT1G51370
F4I9I1	AT1G51370
Q6DBN6	AT1G51370
A0A1P8ATJ6	AT1G51380
A0A1P8ATK7	AT1G51380
A0A1P8ATN0	AT1G51380
Q9C8J1	AT1G51380
Q9C8J2	AT1G51390
A0A178WMH6	AT1G51400
F4I9I5	AT1G51402
A0A1P8ASK3	AT1G51405
F4I9I6	AT1G51405
A0A1P8AT44	AT1G51420
Q9C8J4	AT1G51420
F4I9I9	AT1G51430
Q9C8J5	AT1G51430
Q9C8J6	AT1G51440
Q9C8J7	AT1G51450
Q9C8J8	AT1G51460
Q3ECS3	AT1G51470
Q9C8K0	AT1G51480
A0A2H1ZED6	AT1G51490
Q1PFL2	AT1G51490
Q9C8K1	AT1G51490
Q9C8K2	AT1G51500
F4I9J7	AT1G51510
F4I9J8	AT1G51520
Q9C8K4	AT1G51520
F4I9K0	AT1G51530
Q9C8K5	AT1G51530
F4I9K2	AT1G51538
Q84VX7	AT1G51540
Q9C8K6	AT1G51540
Q9C8K7	AT1G51550
A0A178WDL5	AT1G51560
Q9C8K8	AT1G51560
Q9C8H3	AT1G51570
Q9C553	AT1G51580
Q9C512	AT1G51590
Q8H1G0	AT1G51600
Q8H1G3	AT1G51610
Q0IGL7	AT1G51620
Q9C8H4	AT1G51620
Q0WPA5	AT1G51630
Q9C8H6	AT1G51640
Q96253	AT1G51650
O80397	AT1G51660
Q8RY97	AT1G51670
A8MS69	AT1G51680
Q42524	AT1G51680
A0A178W8Q2	AT1G51690
A0A1P8AUA0	AT1G51690
F4I9M3	AT1G51690
Q38821	AT1G51690
O82155	AT1G51700
B3H5V4	AT1G51710
Q949Y0	AT1G51710
A0A1P8AW36	AT1G51720
A0A1P8AW38	AT1G51720
F4I9M9	AT1G51720
Q84WI8	AT1G51720
Q9C8I0	AT1G51720
Q9C8I1	AT1G51730
A0A1P8AWG1	AT1G51740
P59277	AT1G51740
F4I9N3	AT1G51745
P59278	AT1G51745
O04373	AT1G51760
Q1G2Z9	AT1G51770
Q1G300	AT1G51770
Q9C8I4	AT1G51770
Q9SWX9	AT1G51780
A0A178WLG7	AT1G51790
F4IB60	AT1G51790
Q9C8I6	AT1G51800
P0CAY5	AT1G51802
F4IB62	AT1G51805
F4IB63	AT1G51805
